2025-06-03 02:46:18 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-06-03 02:46:18 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-06-03 02:46:20 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-06-03 02:46:20 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-06-03 02:46:20 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-06-03 02:46:21 [main] DEBUG c.n.security.JwtAuthenticationFilter - Filter 'jwtAuthenticationFilter' configured for use
2025-06-03 02:46:22 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-06-03 02:46:22 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@33093469, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4967fabe, org.springframework.security.web.context.SecurityContextHolderFilter@59e7a6d8, org.springframework.security.web.header.HeaderWriterFilter@28815100, org.springframework.web.filter.CorsFilter@6329d89f, org.springframework.security.web.authentication.logout.LogoutFilter@63031e98, com.notus.security.JwtAuthenticationFilter@45c3cf0c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@69503026, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7959d16a, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@10fc01e0, org.springframework.security.web.session.SessionManagementFilter@44bd11a2, org.springframework.security.web.access.ExceptionTranslationFilter@3be94b12, org.springframework.security.web.access.intercept.AuthorizationFilter@62f30cea]
2025-06-03 02:46:22 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-06-03 02:46:23 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-06-03 02:46:23 [main] INFO  com.notus.CraftSpaceApplication - Started CraftSpaceApplication in 8.716 seconds (process running for 10.14)
2025-06-03 02:46:57 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-03 02:46:57 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-06-03 02:46:57 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-06-03 02:46:57 [http-nio-8080-exec-1] WARN  o.s.w.s.h.HandlerMappingIntrospector - Cache miss for REQUEST dispatch to '/api/ai/upload/6' (previous null). Performing MatchableHandlerMapping lookup. This is logged once only at WARN level, and every time at TRACE.
2025-06-03 02:49:20 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-06-03 02:49:20 [main] INFO  com.notus.CraftSpaceApplication - Starting CraftSpaceApplication using Java 21.0.3 with PID 13664 (C:\Users\Admin\Desktop\craft_space\Backend\target\classes started by Admin in C:\Users\Admin\Desktop\craft_space\Backend)
2025-06-03 02:49:20 [main] DEBUG com.notus.CraftSpaceApplication - Running with Spring Boot v3.2.0, Spring v6.1.1
2025-06-03 02:49:20 [main] INFO  com.notus.CraftSpaceApplication - No active profile set, falling back to 1 default profile: "default"
2025-06-03 02:49:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-06-03 02:49:21 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 83 ms. Found 5 JPA repository interfaces.
2025-06-03 02:49:22 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
